Series Id,Year,Period,Value
CUSR0000SA0,1947,M02,0.7
CUSR0000SA0,1947,M03,1.8
CUSR0000SA0,1947,M04,0.0
CUSR0000SA0,1947,M05,-0.2
CUSR0000SA0,1947,M06,0.6
CUSR0000SA0,1947,M07,0.7
CUSR0000SA0,1947,M08,0.8
CUSR0000SA0,1947,M09,2.0
CUSR0000SA0,1947,M10,0.3
CUSR0000SA0,1947,M11,0.7
CUSR0000SA0,1947,M12,1.5
CUSR0000SA0,1948,M01,1.2
CUSR0000SA0,1948,M02,0.0
CUSR0000SA0,1948,M03,-0.7
CUSR0000SA0,1948,M04,1.4
CUSR0000SA0,1948,M05,0.8
CUSR0000SA0,1948,M06,0.6
CUSR0000SA0,1948,M07,1.0
CUSR0000SA0,1948,M08,0.1
CUSR0000SA0,1948,M09,-0.3
CUSR0000SA0,1948,M10,-0.2
CUSR0000SA0,1948,M11,-0.6
CUSR0000SA0,1948,M12,-0.5
CUSR0000SA0,1949,M01,-0.2
CUSR0000SA0,1949,M02,-0.4
CUSR0000SA0,1949,M03,0.0
CUSR0000SA0,1949,M04,0.0
CUSR0000SA0,1949,M05,0.0
CUSR0000SA0,1949,M06,0.0
CUSR0000SA0,1949,M07,-0.9
CUSR0000SA0,1949,M08,0.0
CUSR0000SA0,1949,M09,0.2
CUSR0000SA0,1949,M10,-0.3
CUSR0000SA0,1949,M11,0.1
CUSR0000SA0,1949,M12,-0.4
CUSR0000SA0,1950,M01,-0.4
CUSR0000SA0,1950,M02,0.4
CUSR0000SA0,1950,M03,0.1
CUSR0000SA0,1950,M04,0.0
CUSR0000SA0,1950,M05,0.5
CUSR0000SA0,1950,M06,0.5
CUSR0000SA0,1950,M07,0.8
CUSR0000SA0,1950,M08,0.5
CUSR0000SA0,1950,M09,0.6
CUSR0000SA0,1950,M10,0.7
CUSR0000SA0,1950,M11,0.4
CUSR0000SA0,1950,M12,1.5
CUSR0000SA0,1951,M01,1.6
CUSR0000SA0,1951,M02,1.8
CUSR0000SA0,1951,M03,0.2
CUSR0000SA0,1951,M04,0.2
CUSR0000SA0,1951,M05,0.3
CUSR0000SA0,1951,M06,-0.2
CUSR0000SA0,1951,M07,-0.1
CUSR0000SA0,1951,M08,-0.2
CUSR0000SA0,1951,M09,0.7
CUSR0000SA0,1951,M10,0.5
CUSR0000SA0,1951,M11,0.6
CUSR0000SA0,1951,M12,0.6
CUSR0000SA0,1952,M01,-0.1
CUSR0000SA0,1952,M02,-0.2
CUSR0000SA0,1952,M03,-0.1
CUSR0000SA0,1952,M04,0.3
CUSR0000SA0,1952,M05,0.0
CUSR0000SA0,1952,M06,0.2
CUSR0000SA0,1952,M07,0.6
CUSR0000SA0,1952,M08,0.0
CUSR0000SA0,1952,M09,-0.2
CUSR0000SA0,1952,M10,0.2
CUSR0000SA0,1952,M11,0.0
CUSR0000SA0,1952,M12,0.1
CUSR0000SA0,1953,M01,-0.3
CUSR0000SA0,1953,M02,-0.2
CUSR0000SA0,1953,M03,0.2
CUSR0000SA0,1953,M04,0.2
CUSR0000SA0,1953,M05,0.0
CUSR0000SA0,1953,M06,0.3
CUSR0000SA0,1953,M07,0.1
CUSR0000SA0,1953,M08,0.2
CUSR0000SA0,1953,M09,0.1
CUSR0000SA0,1953,M10,0.2
CUSR0000SA0,1953,M11,-0.4
CUSR0000SA0,1953,M12,0.1
CUSR0000SA0,1954,M01,0.3
CUSR0000SA0,1954,M02,0.2
CUSR0000SA0,1954,M03,-0.2
CUSR0000SA0,1954,M04,-0.3
CUSR0000SA0,1954,M05,0.3
CUSR0000SA0,1954,M06,0.0
CUSR0000SA0,1954,M07,-0.3
CUSR0000SA0,1954,M08,0.0
CUSR0000SA0,1954,M09,-0.1
CUSR0000SA0,1954,M10,-0.3
CUSR0000SA0,1954,M11,0.2
CUSR0000SA0,1954,M12,0.0
CUSR0000SA0,1955,M01,0.0
CUSR0000SA0,1955,M02,0.2
CUSR0000SA0,1955,M03,-0.1
CUSR0000SA0,1955,M04,0.0
CUSR0000SA0,1955,M05,-0.1
CUSR0000SA0,1955,M06,-0.2
CUSR0000SA0,1955,M07,0.2
CUSR0000SA0,1955,M08,-0.1
CUSR0000SA0,1955,M09,0.5
CUSR0000SA0,1955,M10,-0.1
CUSR0000SA0,1955,M11,0.2
CUSR0000SA0,1955,M12,0.0
CUSR0000SA0,1956,M01,-0.1
CUSR0000SA0,1956,M02,0.1
CUSR0000SA0,1956,M03,0.1
CUSR0000SA0,1956,M04,0.1
CUSR0000SA0,1956,M05,0.4
CUSR0000SA0,1956,M06,0.4
CUSR0000SA0,1956,M07,0.5
CUSR0000SA0,1956,M08,0.1
CUSR0000SA0,1956,M09,0.1
CUSR0000SA0,1956,M10,0.6
CUSR0000SA0,1956,M11,0.0
CUSR0000SA0,1956,M12,0.4
CUSR0000SA0,1957,M01,0.1
CUSR0000SA0,1957,M02,0.5
CUSR0000SA0,1957,M03,0.2
CUSR0000SA0,1957,M04,0.3
CUSR0000SA0,1957,M05,0.3
CUSR0000SA0,1957,M06,0.4
CUSR0000SA0,1957,M07,0.3
CUSR0000SA0,1957,M08,0.3
CUSR0000SA0,1957,M09,0.1
CUSR0000SA0,1957,M10,0.0
CUSR0000SA0,1957,M11,0.3
CUSR0000SA0,1957,M12,0.2
CUSR0000SA0,1958,M01,0.6
CUSR0000SA0,1958,M02,0.2
CUSR0000SA0,1958,M03,0.6
CUSR0000SA0,1958,M04,0.2
CUSR0000SA0,1958,M05,0.0
CUSR0000SA0,1958,M06,-0.1
CUSR0000SA0,1958,M07,-0.1
CUSR0000SA0,1958,M08,0.2
